custom/mean_reward,custom/collision_num,custom/total_distance,time/num_timesteps,custom/total_reward,custom/collision_rate,custom/avg_center_dev,custom/avg_speed,custom/episode_length,custom/routes_completed,replay_buffer/sum_recent_rewards,custom/collision_interval,custom/CPS,custom/CPM,replay_buffer/mean_recent_rewards,custom/collision_speed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,rollout/ep_gt_rew_mean,train/std,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/learning_rate
-0.0382486934101368,4,5.648438570100325,11420,-6.617023959953666,0.19047619047619047,0.36831218586693326,1.8361429696722729,173,0.05952380952380952,,,,,,,,,,,,,,1408,-0.4514760207384825,-26.48686921596527,0.8716491740196943,0.34951885766349733,9.774590487756801e-05
-0.08222435677909337,4,8.906895420979708,11451,-2.631179416930988,0.18181818181818182,0.6263565728739922,15.532350766357638,32,0.07317073170731707,30.249672,,,,0.060499344,,,,,,,,,,,,,,
,,,,,,,,,,24.879807,,,,0.04975961,,520.5,22,0,11456,0.991107181818181,0.049826979637145996,18307,,,,,,
-0.033024074002876026,4,8.809894408565015,11504,-1.7832999961553053,0.17391304347826086,0.8795210964417499,8.909679497661449,54,0.031746031746031744,,,,,,,,,,,,,,1472,-0.47175361635163426,-27.206898748874664,0.8661999301984906,0.6864950940944254,9.773331437363199e-05
,,,,,,,,,,21.830448,,,,0.043660898,,500.17391304347825,23,0,11520,0.8689078260869557,0.049824733287096024,18459,,,,,,
-0.1500188514796219,4,5.039585807593539,11544,-6.150772910664498,0.16666666666666666,0.6485791440406379,6.949546728516904,41,0.010498687664041995,,,,,,,,,,,,,,1536,-0.4972194703295827,-27.977100431919098,0.8608152782544494,0.6979607514804229,9.772072468480001e-05
-0.2139223262275011,5,3.3615953768603504,11576,-7.059436765507536,0.2,0.3922503147957794,5.669154825304251,33,0.07692307692307693,10.814856,911,0.030303030303030304,297.4778008333579,0.021629712,7.589369391128104,,,,,,,,,,,,,
,,,,,,,,,,0.50506735,,,,0.0010101347,,463.04,25,0,11584,0.26807467999999957,0.049826618283987045,18650,,,,,,
,,,,,,,,,,,,,,,,463.04,25,0,11648,0.26807467999999957,0.049827590584754944,18816,1600,-0.5267468122765422,-28.77440670132637,0.8554081665351987,1.2632765657035634,9.7708135811072e-05
,,,,,,,,,,,,,,,,463.04,25,0,11712,0.26807467999999957,0.04982993006706238,18979,1664,-0.5270133335143328,-29.22019076347351,0.8500548722222447,1.220572339836508,9.7695547752448e-05
,,,,,,,,,,,,,,,,463.04,25,0,11776,0.26807467999999957,0.04983038082718849,19144,1728,-0.5630717882886529,-29.959427773952484,0.8447430143132806,0.7489355308935046,9.768296050892801e-05
,,,,,,,,,,,,,,,,463.04,25,0,11840,0.26807467999999957,0.04983143135905266,19309,1792,-0.5878150318749249,-30.95785492658615,0.8394397096708417,0.5916165180969983,9.7670374080512e-05
,,,,,,,,,,,,,,,,463.04,25,0,11904,0.26807467999999957,0.04982922226190567,19475,1856,-0.593207938130945,-31.239805817604065,0.834196612238884,0.7344346167519689,9.765778846720001e-05
,,,,,,,,,,,,,,,,463.04,25,0,11968,0.26807467999999957,0.049828168004751205,19641,1920,-0.6208911333233118,-31.991025656461716,0.8290219381451607,0.737565271789208,9.7645203668992e-05
-0.013770977372188848,6,6.325099267698533,11986,-5.659871699969616,0.23076923076923078,0.6082817769836945,0.8443383022450598,411,0.058823529411764705,,411,0.0024330900243309003,158.1002854938374,,0.8144596936044174,,,,,,,,1984,-0.6461831256747246,-32.70053020119667,0.8238644953817129,1.113444524933584,9.7632619685888e-05
,,,,,,,,,,2.0588074,,,,0.0041176146,,461.0,26,0,12032,0.038673461538461136,0.049827899783849716,19801,,,,,,
0.05499287131749058,6,21.743587205652148,12042,3.134593665096963,0.2222222222222222,0.8508098912956624,20.806989306709173,57,0.3793103448275862,,,,,,,,,,,,,,2048,-0.6575137339532375,-32.986553996801376,0.8187285764142871,0.9154608258977532,9.762003651788799e-05
,,,,,,,,,,11.70979,,,,0.023419581,,446.0,27,0,12096,0.15199725925925886,0.04983091354370117,19976,,,,,,
